kode_provinsi,nama_provinsi,jenis_sarana_kesehatan,tahun,jumlah
19,"Prov. Kepulauan Bangka Belitung","Polindes",2002,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2003,183
19,"Prov. Kepulauan Bangka Belitung","Polindes",2004,197
19,"Prov. Kepulauan Bangka Belitung","Polindes",2005,200
19,"Prov. Kepulauan Bangka Belitung","Polindes",2006,199
19,"Prov. Kepulauan Bangka Belitung","Polindes",2007,199
19,"Prov. Kepulauan Bangka Belitung","Polindes",2008,193
19,"Prov. Kepulauan Bangka Belitung","Polindes",2009,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2010,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2011,0
19,"Prov. Kepulauan Bangka Belitung","Polindes",2012,0
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2000,0
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2001,358
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2002,213
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2003,958
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2004,848
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2005,868
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2006,909
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2007,909
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2008,343
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2009,948
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2010,948
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2011,948
19,"Prov. Kepulauan Bangka Belitung","Posyandu",2012,948
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2000,45
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2001,45
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2002,45
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2003,45
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2004,222
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2005,47
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2006,47
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2007,51
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2008,50
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2009,55
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2010,55
19,"Prov. Kepulauan Bangka Belitung","Puskesmas",2011,55
